ticker,index_used,delta_RE,p_value,significant,r2,epsilon,delta_market,n_obs
RMD.N,SMM,0.019844,0.8846,False,0.1531,0.071717,0.5623,134
RVTY.N,SMM,-0.066336,0.5821,False,0.4127,0.063172,0.9797,134
STE.N,SMM,0.069795,0.4905,False,0.3389,0.053023,0.6959,134
SYK.N,SMM,-0.047644,0.5862,False,0.4243,0.045863,0.7285,134
TMO.N,SMM,-0.157248,0.13,False,0.3456,0.054225,0.7226,134
WAT.N,SMM,-0.141526,0.2657,False,0.3467,0.066519,0.8935,134
WST.N,SMM,-0.344824,0.011,True,0.3165,0.070227,0.8482,134
ZBH.N,SMM,-0.062174,0.5781,False,0.3748,0.058585,0.8392,134
ACN.N,SMM,-0.175914,0.0622,False,0.4845,0.049137,0.8751,134
ADBE.O,SMM,-0.179353,0.1802,False,0.3355,0.069928,0.9132,134
AFL.N,SMM,0.21068,0.0195,True,0.3946,0.046783,0.6655,134
ABNB.O,SMM,0.099523,0.6909,False,0.2251,0.097919,0.9678,63
ALL.N,SMM,0.027446,0.7913,False,0.1574,0.054383,0.4325,134
GOOGL.O,SMM,-0.17672,0.1151,False,0.3621,0.058527,0.8085,134
GOOG.O,SMM,-0.179942,0.1075,False,0.3618,0.058336,0.805,134
MO.N,SMM,0.111145,0.3458,False,0.1206,0.061713,0.4067,134
AMZN.O,SMM,-0.376281,0.0049,True,0.3799,0.069106,0.9634,134
AXP.N,SMM,0.078374,0.423,False,0.5235,0.051227,0.9864,134
AIG.N,SMM,0.194893,0.1266,False,0.3532,0.066601,0.8858,134
APP.O,SMM,-0.50836,0.4249,False,0.1752,0.217929,1.7243,59
ACGL.N,SMM,0.296261,0.1585,False,0.129,0.096819,0.5675,95
AIZ.N,SMM,-0.083931,0.4428,False,0.154,0.05728,0.4495,134
ADSK.O,SMM,-0.207068,0.1264,False,0.478,0.07072,1.247,134
BAC.N,SMM,0.031207,0.7617,False,0.5728,0.053946,1.1524,134
BKNG.N,SMM,-0.018063,0.9018,False,0.4171,0.067846,0.9543,95
CDNS.O,SMM,-0.26031,0.0311,True,0.3303,0.062758,0.7952,134
COF.N,SMM,0.029918,0.8071,False,0.504,0.064232,1.1948,134
CCL.N,SMM,0.103572,0.6259,False,0.4716,0.111352,1.9374,134
SCHW.N,SMM,0.121576,0.3737,False,0.3407,0.071547,0.9393,134
CMG.N,SMM,-0.364203,0.0315,True,0.2315,0.088026,0.8533,134
CB.N,SMM,0.206919,0.026,True,0.2758,0.048282,0.5127,134
CINF.N,SMM,0.132451,0.3653,False,0.1822,0.067625,0.5179,95
C.N,SMM,0.015566,0.8931,False,0.5539,0.060741,1.2497,134
CFG.N,SMM,0.205005,0.1476,False,0.4583,0.073935,1.2355,134
CTSH.N,SMM,-0.1599,0.2098,False,0.4367,0.058822,0.8535,95
STZ.N,SMM,-0.021726,0.8483,False,0.2289,0.059552,0.6002,134
DRI.N,SMM,-0.000883,0.9948,False,0.2779,0.070617,0.8095,134
DDOG.O,SMM,-0.269338,0.3908,False,0.1781,0.134283,1.0272,78
EBAY.O,SMM,-0.061063,0.6353,False,0.4234,0.067478,1.0698,134
EPAM.N,SMM,-0.621921,0.0021,True,0.3124,0.10389,1.2087,134
EXPE.N,SMM,0.191164,0.3848,False,0.3842,0.10169,1.3235,95
FICO.N,SMM,-0.251934,0.085,False,0.3559,0.076254,1.0361,134
FITB.N,SMM,0.188204,0.1973,False,0.5219,0.06732,1.1568,95
IT.N,SMM,-0.256958,0.0706,False,0.3513,0.074044,0.9942,134
GL.N,SMM,0.017517,0.8678,False,0.273,0.055195,0.624,134
GS.N,SMM,0.05052,0.629,False,0.5557,0.054803,1.1295,134
