Date,crisis_prob,stress_prob,normal_prob,regime,re_residual
2017-01-15,0.07248431190171985,0.9275156880982791,1.9245038495472363e-68,stress,0.5799922568051653
2017-01-22,0.4297593742567987,0.5702406257432001,2.3778131198710612e-33,stress,-0.16690070174609112
2017-01-29,0.08071219056210992,0.9192878094378889,1.856769529755117e-127,stress,0.7496603835661673
2017-02-05,0.26070552727387747,0.7066295751035514,0.03266489762256992,stress,0.15609243445465187
2017-02-12,0.5532693559335793,0.44673064406641966,6.428537048276327e-51,crisis,-0.2459407019517438
2017-02-19,0.04227550048660003,0.9577244995133991,7.513572281438474e-209,stress,0.921340315025979
2017-02-26,0.6034657739214763,0.39653422607852296,2.1629747877964556e-28,crisis,-0.14539395088822032
2017-03-05,0.9111464397607069,0.08885356023929238,1.867058283229869e-144,crisis,-0.5186477376025115
2017-03-12,0.9599133806589482,0.04008661934105112,1.0758217266922746e-292,crisis,-0.7966338193275153
2017-03-19,0.4744030368926123,0.5255842456649358,1.2717442451161828e-05,stress,0.2579960831569303
2017-03-26,0.9742752284378937,0.02572477156210552,6.706339779800662e-123,crisis,-0.4693416936367599
2017-04-02,0.10054492069027127,0.05606529808593559,0.8433897812237925,normal,0.12289696248818535
2017-04-09,0.09922586850339885,0.05473256830677986,0.8460415631898206,normal,0.12267981039709042
2017-04-16,0.9848210221435856,0.015178977856413648,8.614420246789284e-139,crisis,-0.5078707849887676
2017-04-23,0.8831791012068749,0.11682089879312402,3.382933109498153e-103,crisis,-0.41694050933272253
2017-04-30,0.6389523448511591,0.36104765514216297,6.677024848152194e-12,crisis,-0.0467784500888318
2017-05-07,0.6244255928873268,0.37557440711267215,1.9405709843969267e-31,crisis,-0.16585441842183934
2017-05-14,0.3265924196702706,0.6506716284738103,0.02273595185591809,stress,0.1967614599511065
2017-05-21,0.4347866915612587,0.565213299627016,8.811724051502119e-09,stress,-0.01527697630571998
2017-05-28,0.33836806946993536,0.6611039274019643,0.0005280031280989885,stress,0.22981793907754203
2017-06-04,0.7553940789733966,0.24460592102660209,8.51763772669364e-85,crisis,-0.3635292303063226
2017-06-11,0.6055848896642143,0.39441511033576204,2.2337090834288372e-14,crisis,-0.06507253633844216
2017-06-18,0.5396620677942889,0.460337926403978,5.801731551595476e-09,crisis,-0.019070916321685914
2017-06-25,0.5666348298057242,0.43336517019427434,4.2865672483630427e-39,crisis,-0.19759489319850881
