ticker,delta_RE,p_value,significant,r2,epsilon,n_obs,market_cap_usd,Security,tier,GICS Sub-Industry,dollar_exposure_usd,exposure_billions,exposure_pct_mcap
ROK.N,-0.078324,0.6223,False,0.0018,0.083771,134,39493804662.0,Rockwell Automation,high,Electrical Components & Equipment,492494240.91324264,0.4924942409132426,1.247016450119603
ROP.N,-0.731903,0.0038,True,0.2471,0.049168,32,35450294716.3,Roper Technologies,high,Electronic Equipment & Instruments,4130957254.958211,4.1309572549582105,11.652814985086152
STX.O,0.526146,0.0218,True,0.0392,0.119694,134,85145324656.32,,,,7132543066.5086775,7.132543066508678,8.376905126967833
SHW.N,-0.071423,0.6139,False,0.0019,0.07458,134,78010663688.76,Sherwin-Williams,high,Specialty Chemicals,887093474.5354565,0.8870934745354565,1.1371438628886728
SWKS.O,-0.180687,0.3227,False,0.0074,0.096112,134,8067544283.8,Skyworks Solutions,high,Semiconductors,232084207.36073107,0.23208420736073107,2.8767639717425144
SNA.N,0.015692,0.9032,False,0.0001,0.067985,134,18690668430.72,Snap-on,high,Industrial Machinery & Supplies & Components,46696083.45876071,0.04669608345876071,0.2498363481854452
SWK.N,0.141098,0.4072,False,0.0052,0.089616,134,10686812043.78,Stanley Black & Decker,high,Industrial Machinery & Supplies & Components,240074676.8179716,0.2400746768179716,2.246457370397014
STLD.N,0.125532,0.6015,False,0.0029,0.111904,95,24743158808.25,Steel Dynamics,high,Steel,494523477.45149255,0.49452347745149255,1.998627100459808
SMCI.O,-0.221989,0.5578,False,0.0026,0.199499,134,13192588485.44,,,,466271417.95860827,0.46627141795860827,3.5343436845105014
TEL.N,0.212398,0.1178,False,0.0184,0.071246,134,59314803944.22,TE Connectivity,high,Electronic Manufacturing Services,2005814867.3829405,2.0058148673829406,3.3816429188052632
TDY.N,0.226172,0.0882,False,0.0219,0.069523,134,27480508363.35,Teledyne Technologies,high,Electronic Equipment & Instruments,989557249.3890113,0.9895572493890112,3.6009422981008483
TER.O,0.213216,0.3327,False,0.0071,0.115791,134,46280532511.08,Teradyne,high,Semiconductor Materials & Equipment,1571069736.0274544,1.5710697360274544,3.394666506162878
TSLA.O,0.036885,0.9124,False,0.0001,0.176782,134,1357742464770.72,"Tesla, Inc.",high,Automobile Manufacturers,7973417643.548265,7.973417643548266,0.5872555252880541
TXN.O,0.060379,0.6553,False,0.0015,0.071268,134,173288494544.41,Texas Instruments,high,Semiconductors,1665838781.7854266,1.6658387817854265,0.9613095123049321
TXT.N,0.307753,0.0472,True,0.0295,0.08111,134,15228429995.77,Textron,high,Aerospace & Defense,746164787.371603,0.746164787371603,4.899814278811835
TDG.N,0.027249,0.8648,False,0.0002,0.084352,134,64381556026.89,TransDigm Group,high,Aerospace & Defense,279311850.15427995,0.27931185015427995,0.4338383030655873
TRMB.N,0.122615,0.5456,False,0.0039,0.094434,95,14730534821.76,Trimble Inc.,high,Electronic Equipment & Instruments,287567261.2906152,0.2875672612906152,1.9521847968874815
VRT.N,-0.13136,0.6878,False,0.0018,0.150219,92,96058996356.48,Vertiv,high,Electrical Components & Equipment,2008993392.2111506,2.0089933922111505,2.0914161800688302
GWW.N,0.022606,0.8756,False,0.0002,0.076094,134,50031107243.95,W. W. Grainger,high,Industrial Machinery & Supplies & Components,180069915.79246828,0.18006991579246828,0.35991591174357473
WAB.N,0.066688,0.6797,False,0.0013,0.085107,134,41113399680.9,Wabtec,high,Construction Machinery & Heavy Transportation Equipment,436524282.2962354,0.43652428229623536,1.061756716020327
WDC.O,0.425072,0.0989,False,0.0205,0.135067,134,93350701443.48,,,,6317676848.76777,6.3176768487677695,6.767680104249525
XYL.N,-0.048087,0.7106,False,0.001,0.068283,134,28581272157.75,Xylem Inc.,high,Industrial Machinery & Supplies & Components,218819772.83468288,0.21881977283468287,0.7656054343100626
ZBRA.N,0.107788,0.6603,False,0.0021,0.114201,95,9968206898.56,Zebra Technologies,high,Electronic Equipment & Instruments,171066425.62990838,0.17106642562990837,1.7161203350887562
ABT.N,0.026395,0.817,False,0.0004,0.060104,134,180700809627.31,Abbott Laboratories,medium,Health Care Equipment,759379884.1333616,0.7593798841333615,0.42024155049418976
A.N,-0.084851,0.5454,False,0.0028,0.073902,134,31154079426.08,Agilent Technologies,medium,Life Sciences Tools & Services,420871203.27042305,0.42087120327042304,1.3509344876295697
ALGN.O,-0.068605,0.7895,False,0.0005,0.135404,134,11859921122.16,,,,129543281.2042871,0.1295432812042871,1.0922777636542484
BAX.N,-0.000386,0.9979,False,0.0,0.077583,134,8244552648.58,Baxter International,medium,Health Care Equipment,506677.6226685781,0.0005066776226685781,0.006145604792224181
BDX.N,0.03663,0.7426,False,0.0008,0.058771,134,43995456908.59,Becton Dickinson,medium,Health Care Equipment,256579571.1010195,0.2565795711010195,0.583195605023761
TECH.N,0.025803,0.9042,False,0.0002,0.099894,95,7971295227.4,Bio-Techne,medium,Life Sciences Tools & Services,32747369.511757076,0.03274736951175707,0.4108161669786542
BSX.N,-0.135925,0.2543,False,0.0098,0.062685,134,102798736301.39,Boston Scientific,medium,Health Care Equipment,2224664073.7435346,2.2246640737435346,2.1640967134276474
BR.N,-0.085627,0.4859,False,0.0037,0.064706,134,18378582715.3,Broadridge Financial Solutions,medium,Data Processing & Outsourced Services,250553266.76347128,0.2505532667634713,1.3632893822377719
CRL.N,-0.023496,0.8972,False,0.0001,0.095823,134,7835096648.0,Charles River Laboratories,medium,Life Sciences Tools & Services,29309986.290050462,0.029309986290050462,0.3740858295287548
CSCO.O,0.118572,0.3397,False,0.0069,0.065335,134,315675451916.64,Cisco,medium,Communications Equipment,5959369034.929767,5.959369034929766,1.8878151591285117
COO.N,-0.02154,0.9563,False,0.0001,0.079353,30,13613131548.46,Cooper Companies (The),medium,Health Care Supplies,46685397.8344359,0.046685397834435906,0.34294385291323537
DHR.N,-0.130376,0.2597,False,0.0096,0.060817,134,128461598536.88,Danaher Corporation,medium,Life Sciences Tools & Services,2666541200.287919,2.666541200287919,2.0757496642254396
DXCM.O,-0.355615,0.1877,False,0.0131,0.141786,134,23957836414.5,,,,1356453749.6626866,1.3564537496626865,5.661837430535757
EW.N,-0.147574,0.3758,False,0.0059,0.087689,134,45742817922.62,Edwards Lifesciences,medium,Health Care Equipment,1074756518.9500678,1.0747565189500679,2.3495634238541228
FFIV.O,0.123969,0.4059,False,0.0052,0.078507,134,15937304600.54,,,,314561302.846044,0.314561302846044,1.9737421774280814
GEHC.N,-0.254734,0.4817,False,0.0135,0.08628,39,31588966599.89,GE HealthCare,medium,Health Care Equipment,1281149046.4510403,1.2811490464510402,4.055685210213561
HOLX.O,-0.162287,0.2567,False,0.0097,0.075224,134,16892941961.35,,,,436482007.24794465,0.43648200724794467,2.583812862475869
IDXX.O,-0.041695,0.8089,False,0.0004,0.090848,134,44344308614.48,,,,294373824.36741805,0.29437382436741805,0.6638367663517805
PODD.O,0.030922,0.8882,False,0.0002,0.115969,134,14657823470.56,,,,72162967.93416908,0.07216296793416908,0.4923170761273475
ISRG.O,-0.281511,0.0771,False,0.0235,0.083443,134,160771112780.72,,,,7205775230.530086,7.205775230530086,4.482008680476221
IQV.N,-0.093348,0.5727,False,0.0024,0.087157,134,27504899645.15,IQVIA,medium,Life Sciences Tools & Services,408782604.19672847,0.40878260419672846,1.486217399338194
LITE.O,0.018271,0.9541,False,0.0,0.162935,128,50174922000.0,,,,145957476.9431154,0.14595747694311542,0.2908972672505907
MDT.N,0.054401,0.6352,False,0.0017,0.060401,134,111877735762.96,Medtronic,medium,Health Care Equipment,969009143.6415102,0.9690091436415103,0.8661322443051493
MTD.N,-0.080313,0.5837,False,0.0023,0.077205,134,24946968100.2,Mettler Toledo,medium,Life Sciences Tools & Services,318992846.7187526,0.3189928467187526,1.2786838281810895
MSI.N,0.042073,0.7423,False,0.0008,0.067432,134,72611614307.84,Motorola Solutions,medium,Communications Equipment,486392529.817966,0.486392529817966,0.6698550010964973
RMD.N,0.053747,0.7162,False,0.001,0.07789,134,32117717068.47,ResMed,medium,Health Care Equipment,274837645.9305446,0.2748376459305446,0.8557197429214328
RVTY.N,-0.007261,0.963,False,0.0,0.08243,134,9380299135.3,Revvity,medium,Health Care Equipment,10844023.465877552,0.010844023465877551,0.1156042393687559
STE.N,0.111757,0.3657,False,0.0062,0.06501,134,21517660485.0,Steris,medium,Health Care Equipment,382866272.0738071,0.38286627207380713,1.7793117999082841
SYK.N,-0.003719,0.9741,False,0.0,0.060446,134,125404363802.32,Stryker Corporation,medium,Health Care Equipment,74253367.00457199,0.07425336700457198,0.05921115083492675
TMO.N,-0.113674,0.3707,False,0.0061,0.066827,134,175845781739.84,Thermo Fisher Scientific,medium,Life Sciences Tools & Services,3182514718.9449987,3.182514718944999,1.8098328475422059
WAT.N,-0.087648,0.5744,False,0.0024,0.082202,134,28367137018.36,Waters Corporation,medium,Life Sciences Tools & Services,395853820.4845533,0.39585382048455325,1.3954662404892875
WST.N,-0.293681,0.0667,False,0.0252,0.083866,134,17541059793.5,West Pharmaceutical Services,medium,Health Care Supplies,820179675.5746604,0.8201796755746604,4.675770365246605
ZBH.N,-0.011571,0.9344,False,0.0001,0.074092,134,17328897994.28,Zimmer Biomet,medium,Health Care Equipment,31924136.763474576,0.031924136763474574,0.18422485246327977
ACN.N,-0.123145,0.3421,False,0.0068,0.068204,134,118244703016.8,Accenture,control,IT Consulting & Other Services,2318332917.573206,2.318332917573206,1.9606230625348362
ADBE.O,-0.124286,0.4446,False,0.0044,0.085594,134,94922328000.0,,,,1878312789.6230178,1.8783127896230178,1.9787892155605558
AFL.N,0.250811,0.0265,True,0.0368,0.059014,134,54820694537.52,Aflac,control,Life & Health Insurance,2189114295.1739426,2.1891142951739426,3.9932261231672
ABNB.O,0.050437,0.8578,False,0.0005,0.11121,63,74792684019.46,,,,600600499.7372998,0.6006004997372998,0.8030203857653135
ALL.N,0.053528,0.6338,False,0.0017,0.059196,134,52610510531.82,Allstate,control,Property & Casualty Insurance,448364125.8394758,0.4483641258394758,0.8522329878709222
GOOGL.O,-0.127969,0.3566,False,0.0064,0.073042,134,3315536940000.0,,,,67551651480.787384,67.55165148078738,2.0374272011817003
GOOG.O,-0.131405,0.3421,False,0.0068,0.072774,134,3315536940000.0,,,,69365430399.80672,69.36543039980671,2.092132636586058
MO.N,0.135667,0.2761,False,0.009,0.065511,134,111147784823.76,Altria,control,Tobacco,2400779958.6093755,2.4007799586093754,2.159989029395539
AMZN.O,-0.318191,0.0543,False,0.0278,0.086527,134,2139899126225.8,,,,108407297187.80139,108.40729718780139,5.066000348296902
AXP.N,0.137854,0.3267,False,0.0073,0.073939,134,200433933607.82,American Express,control,Consumer Finance,4399141645.346256,4.399141645346257,2.19480881613283
AIG.N,0.248306,0.1123,False,0.019,0.082024,134,39142027415.85,American International Group,control,Multi-line Insurance,1547418748.4842725,1.5474187484842725,3.953343377041496
APP.O,-0.674932,0.3266,False,0.0169,0.237921,59,128570373600.0,,,,13815870351.98738,13.815870351987378,10.745765113019303
ACGL.N,0.308653,0.1635,False,0.0208,0.10266,95,33283008806.22,Arch Capital Group,control,Property & Casualty Insurance,1635574783.6198041,1.6355747836198042,4.914143409156399
AIZ.N,-0.056825,0.6304,False,0.0018,0.06222,134,10599966732.32,Assurant,control,Multi-line Insurance,95900588.10104273,0.09590058810104274,0.9047253686998422
ADSK.O,-0.131876,0.4772,False,0.0038,0.097695,134,48496240000.0,,,,1018242354.6983179,1.018242354698318,2.0996315481330465
BAC.N,0.100698,0.5199,False,0.0031,0.082403,134,335633960231.57,Bank of America,control,Diversified Banks,5381013307.460762,5.381013307460762,1.6032386304854676
BKNG.N,0.002772,0.9884,False,0.0,0.088867,95,128661565720.44,Booking Holdings,control,"Hotels, Resorts & Cruise Lines",56783137.04275187,0.05678313704275187,0.04413372146125759
CDNS.O,-0.212361,0.1428,False,0.0162,0.076065,134,74974677297.21,,,,2534934200.0385246,2.5349342000385247,3.381053832335542
COF.N,0.101965,0.5554,False,0.0026,0.091085,134,109521013632.0,Capital One,control,Consumer Finance,1777976031.21091,1.77797603121091,1.6234108617594265
CCL.N,0.220393,0.4478,False,0.0044,0.152855,134,33562036738.4433,Carnival,control,"Hotels, Resorts & Cruise Lines",1177669503.4217038,1.1776695034217037,3.508933360032808
SCHW.N,0.178216,0.2854,False,0.0086,0.087731,134,161834154853.0,Charles Schwab Corporation,control,Investment Banking & Brokerage,4591918800.680051,4.591918800680051,2.8374225483187168
CMG.N,-0.312751,0.0989,False,0.0205,0.099377,134,40192773780.0,Chipotle Mexican Grill,control,Restaurants,2001354442.2455037,2.001354442245504,4.9793887159919805
CB.N,0.237837,0.0257,True,0.0371,0.055671,134,124495054177.68,Chubb Limited,control,Property & Casualty Insurance,4714209085.373947,4.714209085373947,3.7866637486223373
CINF.N,0.143759,0.3694,False,0.0087,0.074454,95,23925855216.0,Cincinnati Financial,control,Property & Casualty Insurance,547620676.3010762,0.5476206763010761,2.288823832449109
