ticker,company,sector,subsector,delta_PPI,p_value_PPI,significant_PPI,r2,n_obs
CINF.OQ,Property & Casualty Insurance,Financials,Property & Casualty Insurance,-0.156423,0.2895,False,0.3081,99
AME.N,Electrical Components & Equipment,Industrials,Electrical Components & Equipment,-0.155728,0.1358,False,0.6994,99
JKHY.OQ,Transaction & Payment Processing Services,Financials,Transaction & Payment Processing Services,-0.155408,0.1822,False,0.2881,99
YUM.N,Restaurants,Consumer Discretionary,Restaurants,-0.154959,0.2002,False,0.427,99
TTD.OQ,Advertising,Communication Services,Advertising,-0.153724,0.707,False,0.1198,99
NKE.N,Footwear,Consumer Discretionary,Footwear,-0.15303,0.5196,False,0.3891,99
HD.N,Home Improvement Retail,Consumer Discretionary,Home Improvement Retail,-0.15276,0.1174,False,0.5686,99
ROP.OQ,Application Software,Information Technology,Application Software,-0.152703,0.2184,False,0.5172,99
SBUX.OQ,Restaurants,Consumer Discretionary,Restaurants,-0.151902,0.4048,False,0.3572,99
STZ.N,Distillers & Vintners,Consumer Staples,Distillers & Vintners,-0.151801,0.2832,False,0.2957,99
VRSK.OQ,Research & Consulting Services,Industrials,Research & Consulting Services,-0.151283,0.4095,False,0.339,99
GIS.N,Packaged Foods & Meats,Consumer Staples,Packaged Foods & Meats,-0.149968,0.3232,False,0.0976,99
MCD.N,Restaurants,Consumer Discretionary,Restaurants,-0.149386,0.2048,False,0.3513,99
LYV.N,Movies & Entertainment,Communication Services,Movies & Entertainment,-0.148786,0.4128,False,0.4278,99
HCA.N,Health Care Facilities,Health Care,Health Care Facilities,-0.148654,0.3026,False,0.5355,99
TYL.N,Application Software,Information Technology,Application Software,-0.148587,0.3063,False,0.3367,99
EME.N,Construction & Engineering,Industrials,Construction & Engineering,-0.147912,0.315,False,0.4781,99
FIX.N,Construction & Engineering,Industrials,Construction & Engineering,-0.147664,0.4302,False,0.3835,99
TTWO.OQ,Interactive Home Entertainment,Communication Services,Interactive Home Entertainment,-0.147604,0.3361,False,0.2043,99
MSI.N,Communications Equipment,Information Technology,Communications Equipment,-0.142305,0.2515,False,0.4202,99
RJF.N,Investment Banking & Brokerage,Financials,Investment Banking & Brokerage,-0.142172,0.2385,False,0.5014,99
AMP.N,Asset Management & Custody Banks,Financials,Asset Management & Custody Banks,-0.141485,0.2524,False,0.641,99
HBAN.OQ,Regional Banks,Financials,Regional Banks,-0.141032,0.3391,False,0.4343,99
ICE.N,Financial Exchanges & Data,Financials,Financial Exchanges & Data,-0.140919,0.2295,False,0.5331,99
VICI.N,Other Specialized REITs,Real Estate,Other Specialized REITs,-0.140174,0.2633,False,0.43,97
CAG.N,Packaged Foods & Meats,Consumer Staples,Packaged Foods & Meats,-0.139656,0.3957,False,0.1427,99
PSKY.OQ,Broadcasting,Communication Services,Broadcasting,-0.138342,0.7477,False,0.3035,99
ITW.N,Industrial Machinery & Supplies & Components,Industrials,Industrial Machinery & Supplies & Components,-0.138148,0.2358,False,0.6636,99
UBER.N,Passenger Ground Transportation,Industrials,Passenger Ground Transportation,-0.137987,0.6061,False,0.2908,82
PODD.OQ,Health Care Equipment,Health Care,Health Care Equipment,-0.13572,0.5578,False,0.2249,99
CI.N,Health Care  Services,Health Care,Health Care  Services,-0.135501,0.4608,False,0.1178,99
JPM.N,Diversified Banks,Financials,Diversified Banks,-0.134952,0.1899,False,0.5934,99
KEYS.N,Electronic Equipment & Instruments,Information Technology,Electronic Equipment & Instruments,-0.134729,0.4072,False,0.3426,99
IT.N,IT Consulting & Other Services,Information Technology,IT Consulting & Other Services,-0.134106,0.4865,False,0.3851,99
IDXX.OQ,Health Care Equipment,Health Care,Health Care Equipment,-0.130597,0.435,False,0.4777,99
TT.N,Building Products,Industrials,Building Products,-0.130261,0.3499,False,0.5515,99
PCAR.OQ,Construction Machinery & Heavy Transportation Equipment,Industrials,Construction Machinery & Heavy Transportation Equipment,-0.130193,0.3189,False,0.4199,99
ABNB.OQ,"Hotels, Resorts & Cruise Lines",Consumer Discretionary,"Hotels, Resorts & Cruise Lines",-0.13019,0.6087,False,0.2313,63
HIG.N,Property & Casualty Insurance,Financials,Property & Casualty Insurance,-0.128036,0.2971,False,0.3624,99
FDS.N,Financial Exchanges & Data,Financials,Financial Exchanges & Data,-0.128009,0.4725,False,0.3129,99
V.N,Transaction & Payment Processing Services,Financials,Transaction & Payment Processing Services,-0.12779,0.2515,False,0.5116,99
CDNS.OQ,Application Software,Information Technology,Application Software,-0.127346,0.404,False,0.3583,99
COR.N,Health Care Distributors,Health Care,Health Care Distributors,-0.125713,0.4125,False,0.2101,99
BR.N,Data Processing & Outsourced Services,Industrials,Data Processing & Outsourced Services,-0.124735,0.329,False,0.4351,99
AJG.N,Insurance Brokers,Financials,Insurance Brokers,-0.12459,0.4275,False,0.2934,99
DECK.N,Footwear,Consumer Discretionary,Footwear,-0.124309,0.7443,False,0.0662,99
LLY.N,Pharmaceuticals,Health Care,Pharmaceuticals,-0.122261,0.5094,False,0.1037,99
SYF.N,Consumer Finance,Financials,Consumer Finance,-0.122144,0.4722,False,0.5081,99
CTAS.OQ,Diversified Support Services,Industrials,Diversified Support Services,-0.121322,0.5924,False,0.1567,99
MO.N,Tobacco,Consumer Staples,Tobacco,-0.121126,0.4452,False,0.1951,99
IEX.N,Industrial Machinery & Supplies & Components,Industrials,Industrial Machinery & Supplies & Components,-0.119504,0.3613,False,0.5426,99
ES.N,Electric Utilities,Utilities,Electric Utilities,-0.119486,0.4467,False,0.2183,99
OTIS.N,Industrial Machinery & Supplies & Components,Industrials,Industrial Machinery & Supplies & Components,-0.117803,0.4787,False,0.4524,72
TMUS.OQ,Wireless Telecommunication Services,Communication Services,Wireless Telecommunication Services,-0.116468,0.409,False,0.1956,99
NSC.N,Rail Transportation,Industrials,Rail Transportation,-0.116098,0.3105,False,0.6396,99
