ticker,symbol,company,tier,delta_PPI,p_value_PPI,significant_PPI,r2,n_obs
ECL.N,ECL,Ecolab,high,-0.180654,0.0584,False,0.558,99
ZBRA.N,ZBRA,Zebra Technologies,high,-0.179364,0.3495,False,0.5159,95
MDT.N,MDT,Medtronic,medium,-0.177188,0.1602,False,0.3783,99
ABT.N,ABT,Abbott Laboratories,medium,-0.173885,0.1746,False,0.4205,99
HWM.N,HWM,Howmet Aerospace,high,-0.173853,0.4361,False,0.4035,99
ADSK.O,ADSK,Autodesk,control,-0.16988,0.2532,False,0.5271,99
ETN.N,ETN,Eaton Corporation,high,-0.166829,0.1208,False,0.5691,99
TRMB.N,TRMB,Trimble Inc.,high,-0.166194,0.3132,False,0.6315,95
ALGN.O,ALGN,Align Technology,medium,-0.163391,0.6077,False,0.3513,99
CRL.N,CRL,Charles River Laboratories,medium,-0.161495,0.4245,False,0.43,99
CCL.N,CCL,Carnival,control,-0.160981,0.5641,False,0.4877,99
SWK.N,SWK,Stanley Black & Decker,high,-0.159774,0.3951,False,0.4471,99
CINF.N,CINF,Cincinnati Financial,control,-0.158258,0.2894,False,0.3114,95
BSX.N,BSX,Boston Scientific,medium,-0.15648,0.2392,False,0.4041,99
AME.N,AME,Ametek,high,-0.155728,0.1358,False,0.6994,99
STZ.N,STZ,Constellation Brands,control,-0.151801,0.2832,False,0.2957,99
MSI.N,MSI,Motorola Solutions,medium,-0.142305,0.2515,False,0.4202,99
ITW.N,ITW,Illinois Tool Works,high,-0.138148,0.2358,False,0.6636,99
PODD.O,PODD,Insulet Corporation,medium,-0.13572,0.5578,False,0.2249,99
IT.N,IT,Gartner,control,-0.134106,0.4865,False,0.3851,99
IDXX.O,IDXX,Idexx Laboratories,medium,-0.130597,0.435,False,0.4777,99
ABNB.O,ABNB,Airbnb,control,-0.13019,0.6087,False,0.2313,63
HIG.N,HIG,Hartford (The),control,-0.128036,0.2971,False,0.3624,99
PCAR.N,PCAR,Paccar,high,-0.127938,0.3318,False,0.4181,95
CDNS.O,CDNS,Cadence Design Systems,control,-0.127346,0.404,False,0.3583,99
BR.N,BR,Broadridge Financial Solutions,medium,-0.124735,0.329,False,0.4351,99
MO.N,MO,Altria,control,-0.121126,0.4452,False,0.1951,99
IEX.N,IEX,IDEX Corporation,high,-0.119504,0.3613,False,0.5426,99
OTIS.N,OTIS,Otis Worldwide,high,-0.117803,0.4787,False,0.4524,72
FTV.N,FTV,Fortive,high,-0.115571,0.3749,False,0.4715,99
AIG.N,AIG,American International Group,control,-0.114948,0.4476,False,0.293,99
PNR.N,PNR,Pentair,high,-0.105187,0.3448,False,0.4165,99
SWKS.O,SWKS,Skyworks Solutions,high,-0.103767,0.5674,False,0.3868,99
DRI.N,DRI,Darden Restaurants,control,-0.101386,0.5258,False,0.4211,99
HII.N,HII,Huntington Ingalls Industries,high,-0.09531,0.6003,False,0.2493,99
AMD.O,AMD,Advanced Micro Devices,high,-0.091455,0.815,False,0.3712,99
CB.N,CB,Chubb Limited,control,-0.090392,0.4985,False,0.2711,99
XYL.N,XYL,Xylem Inc.,high,-0.089815,0.4123,False,0.5362,99
DOV.N,DOV,Dover Corporation,high,-0.085287,0.4725,False,0.6465,99
TDY.N,TDY,Teledyne Technologies,high,-0.084492,0.5824,False,0.4659,99
ON.O,ON,ON Semiconductor,high,-0.073319,0.7918,False,0.4523,99
DHR.N,DHR,Danaher Corporation,medium,-0.071905,0.6366,False,0.3759,99
RTX.N,RTX,RTX Corporation,high,-0.071064,0.7177,False,0.2994,99
BDX.N,BDX,Becton Dickinson,medium,-0.066573,0.5871,False,0.2183,99
AAPL.O,AAPL,Apple Inc.,high,-0.066397,0.7545,False,0.0863,99
LMT.N,LMT,Lockheed Martin,high,-0.065856,0.689,False,0.2077,99
GWW.N,GWW,W. W. Grainger,high,-0.065477,0.6457,False,0.4767,99
EMR.N,EMR,Emerson Electric,high,-0.062277,0.6335,False,0.6543,99
A.N,A,Agilent Technologies,medium,-0.062252,0.6844,False,0.5574,99
CAT.N,CAT,Caterpillar Inc.,high,-0.059384,0.7796,False,0.4204,99
NOC.N,NOC,Northrop Grumman,high,-0.056046,0.7216,False,0.1766,99
AXP.N,AXP,American Express,control,-0.055619,0.583,False,0.5541,99
ADBE.O,ADBE,Adobe Inc.,control,-0.054274,0.8043,False,0.4395,99
CMI.N,CMI,Cummins,high,-0.052577,0.7199,False,0.5075,99
ALL.N,ALL,Allstate,control,-0.049009,0.7527,False,0.1637,99
DDOG.O,DDOG,Datadog,control,-0.0481,0.9039,False,0.1914,78
EPAM.N,EPAM,EPAM Systems,control,-0.046388,0.8963,False,0.3219,99
PPG.N,PPG,PPG Industries,high,-0.046247,0.7381,False,0.5514,99
BA.N,BA,Boeing,high,-0.044068,0.8366,False,0.3508,99
JBL.N,JBL,Jabil,high,-0.043402,0.8349,False,0.4072,99
COF.N,COF,Capital One,control,-0.034676,0.8384,False,0.516,99
RVTY.N,RVTY,Revvity,medium,-0.033625,0.8535,False,0.4009,99
ACN.N,ACN,Accenture,control,-0.032777,0.8095,False,0.5908,99
IQV.N,IQV,IQVIA,medium,-0.030156,0.8661,False,0.5011,99
NXPI.O,NXPI,NXP Semiconductors,high,-0.029852,0.8725,False,0.5362,99
BKNG.N,BKNG,Booking Holdings,control,-0.017573,0.8946,False,0.491,95
C.N,C,Citigroup,control,-0.015976,0.9144,False,0.6117,99
MCHP.O,MCHP,Microchip Technology,high,-0.015348,0.9314,False,0.3018,99
AFL.N,AFL,Aflac,control,-0.014897,0.912,False,0.2261,99
TXN.O,TXN,Texas Instruments,high,-0.013837,0.9325,False,0.4263,99
MTD.N,MTD,Mettler Toledo,medium,-0.009652,0.9544,False,0.5086,99
HLT.N,HLT,Hilton Worldwide,control,-0.005401,0.9692,False,0.5235,99
TMO.N,TMO,Thermo Fisher Scientific,medium,-0.002341,0.9861,False,0.3764,99
LHX.N,LHX,L3Harris,high,0.011062,0.9376,False,0.2973,99
TXT.N,TXT,Textron,high,0.012245,0.9393,False,0.5389,99
STE.N,STE,Steris,medium,0.012779,0.933,False,0.362,99
EBAY.O,EBAY,eBay Inc.,control,0.017013,0.9143,False,0.4904,99
FITB.N,FITB,Fifth Third Bancorp,control,0.021614,0.8798,False,0.4281,95
ROK.N,ROK,Rockwell Automation,high,0.02289,0.8827,False,0.5856,99
SNA.N,SNA,Snap-on,high,0.037062,0.7545,False,0.498,99
WST.N,WST,West Pharmaceutical Services,medium,0.037952,0.8229,False,0.3866,99
CSCO.O,CSCO,Cisco,medium,0.037986,0.7855,False,0.4022,99
WAB.N,WAB,Wabtec,high,0.038708,0.7537,False,0.5752,99
QCOM.O,QCOM,Qualcomm,high,0.039462,0.843,False,0.4256,99
GS.N,GS,Goldman Sachs,control,0.040131,0.7302,False,0.6053,99
FFIV.N,FFIV,"F5, Inc.",medium,0.051408,0.8183,False,0.3608,95
IFF.N,IFF,International Flavors & Fragrances,high,0.051971,0.7993,False,0.3316,99
TEL.N,TEL,TE Connectivity,high,0.052141,0.5651,False,0.6726,99
GL.N,GL,Globe Life,control,0.056056,0.6928,False,0.2859,99
BAC.N,BAC,Bank of America,control,0.056984,0.5862,False,0.6422,99
NTAP.O,NTAP,NetApp,high,0.065022,0.6512,False,0.5251,99
CFG.N,CFG,Citizens Financial Group,control,0.069268,0.721,False,0.4366,99
TECH.N,TECH,Bio-Techne,medium,0.073059,0.7599,False,0.1996,95
SCHW.N,SCHW,Charles Schwab Corporation,control,0.087343,0.5379,False,0.3025,99
CTSH.N,CTSH,Cognizant,control,0.088272,0.5312,False,0.4503,95
META.N,META,Meta Platforms,high,0.089092,0.7907,False,0.3234,95
ADI.O,ADI,Analog Devices,high,0.093231,0.5642,False,0.464,99
FCX.N,FCX,Freeport-McMoRan,high,0.100272,0.6552,False,0.4519,99
FSLR.O,FSLR,First Solar,high,0.106284,0.7911,False,0.2563,99
GD.N,GD,General Dynamics,high,0.10744,0.3893,False,0.3709,99
STLD.N,STLD,Steel Dynamics,high,0.109164,0.6017,False,0.4069,95
GE.N,GE,GE Aerospace,high,0.123145,0.7156,False,0.1059,99
LYB.N,LYB,LyondellBasell,high,0.130617,0.6239,False,0.3389,99
LRCX.O,LRCX,Lam Research,high,0.133832,0.6351,False,0.1467,99
DD.N,DD,DuPont,high,0.141361,0.4987,False,0.2459,99
WAT.N,WAT,Waters Corporation,medium,0.141404,0.4742,False,0.3233,99
GOOGL.O,GOOGL,Alphabet Inc. (Class A),high,0.14744,0.607,False,0.0749,99
GOOG.O,GOOG,Alphabet Inc. (Class C),high,0.154225,0.5907,False,0.0754,99
MPWR.O,MPWR,Monolithic Power Systems,high,0.158721,0.4827,False,0.3236,99
F.N,F,Ford Motor Company,high,0.163047,0.5047,False,0.4379,99
EXPE.N,EXPE,Expedia Group,control,0.166011,0.5857,False,0.3606,95
KLAC.O,KLAC,KLA Corporation,high,0.169324,0.335,False,0.4938,99
GM.N,GM,General Motors,high,0.174318,0.3501,False,0.4629,99
NUE.N,NUE,Nucor,high,0.174375,0.436,False,0.4415,99
TER.O,TER,Teradyne,high,0.184867,0.4403,False,0.3618,99
AIZ.N,AIZ,Assurant,control,0.190296,0.1525,False,0.2485,99
EW.N,EW,Edwards Lifesciences,medium,0.192638,0.4562,False,0.1333,99
AMAT.O,AMAT,Applied Materials,high,0.1946,0.3403,False,0.4843,99
LITE.O,LITE,Lumentum,medium,0.229216,0.4218,False,0.1647,99
TSLA.O,TSLA,"Tesla, Inc.",high,0.27412,0.6202,False,0.1241,99
MU.O,MU,Micron Technology,high,0.278935,0.3154,False,0.3296,99
APTV.N,APTV,Aptiv,high,0.322329,0.0986,False,0.573,99
AVGO.O,AVGO,Broadcom,high,0.349662,0.4271,False,0.1204,99
APP.O,APP,AppLovin,control,0.397013,0.5015,False,0.279,59
INTC.O,INTC,Intel,high,0.418029,0.0867,False,0.2325,99
WDC.O,WDC,Western Digital,high,0.41959,0.1439,False,0.4032,99
STX.O,STX,Seagate Technology,high,0.647667,0.0038,True,0.3906,99
COO.N,COO,Cooper Companies (The),medium,1.149794,0.4973,False,0.057,30
